course_code,course_name,course_type,course_credits,course_coreq,course_prereq
BSCS3001,Software Engineering,Core Pair I,4,BSCS3002,
BSCS3002,Software Testing,Core Pair I,4,BSCS3001,
BSCS3003,AI: Search Methods for Problem Solving,Core Pair II,4,BSCS3004,
BSCS3004,Deep Learning,Core Pair II,4,BSCS3003,
BSGN3001,Strategies for Professional Growth,Mandatory,4,,
BSMS4002,Design Thinking for Data-Driven App Development,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSMS4003,Financial Forensics,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSMS3002,Market Research,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSMS4001,Industry 4.0,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSCS4004,Introduction to Big Data,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSCS4001,Data Visualization Design,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSCS4003,Privacy & Security in Online Social Media,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSEE4001,Speech Technology,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSCS4002,Reinforcement Learning,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSBT4001,Algorithmic Thinking in Bioinformatics,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSBT4002,Big Data and Biological Networks,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSMA2001,Mathematical Thinking,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSMA3012,Linear Statistical Models,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSMA3014,Statistical Computing,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSCS3031,Computer Systems Design,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001,BSCS3005",
BSCS3005,Programming in C,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSCS4022,Operating Systems,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001","BSCS3031,BSCS3005"
BSCS4021,Advanced Algorithms,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSCS5001,Large Language Models,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSCS5002,Introduction to Natural Language Processing (i-NLP),Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSCS5003,Deep Learning for Computer Vision,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSMS3033,Managerial Economics,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSMS4023,Game Theory and Strategy,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSMS3034,Corporate Finance,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
BSDA5013,Deep Learning Practice,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
XXXX0001,IITM On-Campus Course 1,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
XXXX0002,IITM On-Campus Course 2,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
XXXX0003,IITM On-Campus Course 3,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
XXXX0004,IITM On-Campus Course 4,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
XXXX0005,IITM On-Campus Course 5,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
XXXX0006,IITM On-Campus Course 6,Theory,4,"BSCS3001,BSCS3002,BSCS3003,BSCS3004,BSGN3001",
