
course_code,course_name,course_type,course_credits,course_coreq,course_prereq
BSCS2001,Database Management Systems,Theory,4,,
BSCS2002,"Programming, Data Structures and Algorithms using Python",Theory,4,,
BSCS2003,Modern Application Development I,Theory,4,BSCS2001,
BSCS2003P,Modern Application Development I - Project,Project,2,BSCS2003,
BSCS2005,Programming Concepts using Java,Theory,4,,
BSCS2006,Modern Application Development II,Theory,4,,BSCS2003
BSCS2006P,Modern Application Development II - Project,Project,2,BSCS2006,BSCS2003P
BSSE2001,System Commands,Theory,3,,
BSCS2004,Machine Learning Foundations,Theory,4,,
BSMS2001,Business Data Management,Theory,4,,
BSCS2007,Machine Learning Techniques,Theory,4,BSCS2004,
BSCS2008,Machine Learning Practice,Theory,4,,"BSCS2004,BSCS2007"
BSCS2008P,Machine Learning Practice - Project,Project,2,BSCS2008,
BSSE2002,Tools in Data Science,Theory,3,BSCS2008,
BSMS2001P,Business Data Management - Project,Project Option 1,2,BSMS2001,
BSMS2002,Business Analytics,Theory Option 1,4,,BSMS2001
BSDA2001,Introduction to Deep Learning and Generative AI,Theory Option 2,4,BSCS2008,
BSDA2001P,Deep Learning and Generative AI - Project,Project Option 2,2,"BSCS2008,BSDA2001",BSCS2007
